place_pk,site_pk,latitude,longitude,location_description,location_check
TRAPLA001,TRASIT001,,,,Chillan_Chile
TRAPLA002,TRASIT002,,,,Talca_Chile
TRAPLA003,TRASIT003,,,,Temuco_Chile
TRAPLA004,TRASIT004,,,,Rancagua_Chile
TRAPLA005,TRASIT005,,,,Pinto_Chile
TRAPLA006,TRASIT006,59.75388889,17.03722222,,
TRAPLA007,TRASIT008,,,,San_Fernando_Chile
TRAPLA008,TRASIT009,,,,Valdivia_Chile
TRAPLA036,TRASIT012,51.15530556,4.398777778,,
TRAPLA009,TRASIT013,48.35138889,0.5122222222,,
TRAPLA037,TRASIT015,52.08927778,5.694166667,,
TRAPLA001,TRASIT020,,,,Chillan_Chile
TRAPLA002,TRASIT021,,,,Talca_Chile
TRAPLA003,TRASIT022,,,,Temuco_Chile
TRAPLA004,TRASIT023,,,,Rancagua_Chile
TRAPLA005,TRASIT024,,,,Pinto_Chile
TRAPLA009,TRASIT030,48.35138889,0.5122222222,,
TRAPLA010,TRASIT031,-39.8,-73.2,,"Valdivia, Los RÃ­os"
TRAPLA011,TRASIT032,43.37716111,71.04983056,,Seno Magdalena_Chile
TRAPLA012,TRASIT033,42.85243333,73.05543333,,West off Quellon_Chile
TRAPLA013,TRASIT034,41.73832917,73.36963083,,Oeste Cucao_Chile
TRAPLA014,TRASIT035,41.05694444,74.98444444,,Mitad Sur Oeste Chiloe y Guafo_Chile
TRAPLA015,TRASIT036,41.28033333,NA,,Canal Darwin e Isla Dring_Chile
TRAPLA016,TRASIT037,44.88728333,73.52568333,,Weste Isla Liebre e Isla Kent_Chile
TRAPLA017,TRASIT038,41.28985,73.58936667,,West off Isla Ipun_Chile
TRAPLA018,TRASIT039,41.28985,73.58936667,,Chauques_Chile
TRAPLA019,TRASIT040,41.98441667,73.21583333,,Oeste Metalqui_Chile
TRAPLA020,TRASIT041,41.28033333,NA,,Estero Butan_Chile
TRAPLA021,TRASIT042,41.05694444,74.98444444,,Mitad sur Oeste Chiloe y Gua_Chile
TRAPLA022,TRASIT043,41.98441667,73.21583333,,oeste metalqui
TRAPLA023,TRASIT044,44.88728333,73.52568333,,Aysen_Chile
TRAPLA024,TRASIT045,41.98441667,73.21583333,,Oeste Metalqui
TRAPLA025,TRASIT046,41.03722222,74.98972222,,Los Lagos_oceanicas_Chile
TRAPLA011,TRASIT047,43.37833889,71.05713889,,Seno Magdalena_Chile
TRAPLA026,TRASIT051,52.04166667,5.816805556,,Gelderland
TRAPLA007,TRASIT053,,,,San_Fernando_Chile
TRAPLA008,TRASIT054,,,,Valdivia_Chile
TRAPLA009,TRASIT059,48.35138889,0.5122222222,,
TRAPLA009,TRASIT060,48.35138889,0.5122222222,,
TRAPLA009,TRASIT061,48.35138889,0.5122222222,,
TRAPLA009,TRASIT062,48.35138889,0.5122222222,,
TRAPLA027,TRASIT063,-41.46,-72.93,Intertidal of Puntilla Tenglo_Chile,
TRAPLA027,TRASIT064,-41.46,-72.93,Intertidal of Puntilla Tenglo_Chile,
TRAPLA028,TRASIT065,-41.481728,-72.91143,,
TRAPLA008,TRASIT066,-39.8,-73.2,,Valdivia_Chile
TRAPLA029,TRASIT067,45.763,13.498,,Quarantia_Italy
TRAPLA030,TRASIT068,41.871,15.34,,Lesina_Italy
TRAPLA031,TRASIT069,40.444,18.238,,Acquatina_Italy
TRAPLA032,TRASIT071,51.1806,-2.8803,South Drain_Somerset Levels_UK,
TRAPLA033,TRASIT072,50.9094,-4.0743,River Torridge_Devon_UK,
TRAPLA034,TRASIT073,,,goldfields region of Western Australia,Western Australia
TRAPLA034,TRASIT074,,,goldfields region of Western Australia,Western Australia
TRAPLA035,TRASIT075,,,various spots in Southeast Queensland_Australia,Southeast Queensland_Australia
