measurement_pk,condition_pk,condition_type,setup_date,experiment_location
TRAMEA001,TRACON001,test,,
TRAMEA001,TRACON002,maintenance,,
TRAMEA002,TRACON001,test,,
TRAMEA002,TRACON002,maintenance,,
TRAMEA003,TRACON001,test,,
TRAMEA003,TRACON002,maintenance,,
TRAMEA004,TRACON001,test,,
TRAMEA004,TRACON002,maintenance,,
TRAMEA005,TRACON001,test,,
TRAMEA005,TRACON002,maintenance,,
TRAMEA006,TRACON001,test,,
TRAMEA006,TRACON002,maintenance,,
TRAMEA007,TRACON001,test,,
TRAMEA007,TRACON002,maintenance,,
TRAMEA008,TRACON001,test,,
TRAMEA008,TRACON002,maintenance,,
TRAMEA009,TRACON001,test,,
TRAMEA009,TRACON002,maintenance,,
TRAMEA010,TRACON001,test,,
TRAMEA010,TRACON002,maintenance,,
TRAMEA011,TRACON001,test,,
TRAMEA011,TRACON002,maintenance,,
TRAMEA012,TRACON001,test,,
TRAMEA012,TRACON002,maintenance,,
TRAMEA013,TRACON001,test,,
TRAMEA013,TRACON002,maintenance,,
TRAMEA014,TRACON001,test,,
TRAMEA014,TRACON002,maintenance,,
TRAMEA015,TRACON001,test,,
TRAMEA015,TRACON002,maintenance,,
TRAMEA016,TRACON003,test,,
TRAMEA017,TRACON003,test,,
TRAMEA018,TRACON003,test,,
TRAMEA019,TRACON004,test,,
TRAMEA019,TRACON005,maintenance,,
TRAMEA020,TRACON004,test,,
TRAMEA020,TRACON005,maintenance,,
TRAMEA021,TRACON004,test,,
TRAMEA021,TRACON005,maintenance,,
TRAIND022,TRACON006,test,,
TRAIND022,TRACON007,maintenance,,
TRAIND023,TRACON006,test,,
TRAIND023,TRACON007,maintenance,,
TRAIND024,TRACON006,test,,
TRAIND024,TRACON007,maintenance,,
TRAIND025,TRACON006,test,,
TRAIND025,TRACON007,maintenance,,