population_pk,population_id,population_label,population_description,species_reported,authority,populations_facts,pop_comments
TRAPOP001,dat1pop001,ind_measure,,Aphidius_platensis,,,
TRAPOP002,dat1pop002,ind_measure,,Aphidius_platensis,,,
TRAPOP003,dat1pop003,ind_measure,,Aphidius_platensis,,,
TRAPOP004,dat1pop004,ind_measure,,Aphidius_platensis,,,
TRAPOP005,dat1pop005,ind_measure,,Aphidius_platensis,,,
TRAPOP006,dat2pop006,ind_measure,,Rana_arvalis,,,
TRAPOP007,dat2pop007,ind_measure,,Rana_temporaria,,,
TRAPOP008,dat3pop008,ind_measure,,Drosophila_melanogaster,,,
TRAPOP009,dat3pop009,ind_measure,,Drosophila_melanogaster,,,
TRAPOP010,dat4pop010,ind_measure,,Pelophylax_esculentus,,,
TRAPOP011,dat5pop011,ind_measure,,Aphidius_colemani,,,
TRAPOP012,dat6pop012,ind_measure,,Lestes_viridis,,,
TRAPOP013,dat7pop013,ind_measure,,Trichopria_drosophilae,,,
TRAPOP014,dat7pop014,ind_measure,,Asobara_tabida,,,
TRAPOP015,dat7pop015,ind_measure,,Leptopilina_heterotoma,,,
TRAPOP016,dat7pop016,ind_measure,,Spalangia_erythromera,,,
TRAPOP017,dat8pop17,ind_measure,,Aphidius_ervi,,,
TRAPOP018,dat9pop018,ind_measure,,Lycaena_phlaeas,,,
TRAPOP019,dat10pop019,ind_measure,,Brachymeria_nosatoi,,,
TRAPOP020,dat10pop020,ind_measure,,Opisina_arenosella,,,
TRAPOP021,dat11apop021,ind_measure,,Aphidius_ervi,,,
TRAPOP022,dat11bpop022,ind_measure,,Aphidius_matricariae,,,
TRAPOP023,dat11bpop023,ind_measure,,Dysaphis_plantaginea,,,
TRAPOP024,dat12pop024,ind_measure,,Operophtera_brumata,,,
TRAPOP025,dat14pop025,ind_measure,,Petrolisthes_laevigatus,,,
TRAPOP026,dat15pop026,ind_measure,,Lymnaea_stagnalis,,,
TRAPOP027,dat16apop027,ind_measure,,Aphidius_colemani,,,
TRAPOP028,dat16bpop028,ind_measure,,Aphidius_colemani,,,
TRAPOP029,dat17pop029,ind_measure,,Copidosoma_koehleri,,,
TRAPOP030,dat18pop030,ind_measure,,Trechnites_insidiosus,,,
TRAPOP031,dat20pop031,ind_measure,,Drosophila_subobscura,,,
TRAPOP032,dat21pop032,ind_measure,,Lithodes_santolla,,,
TRAPOP033,dat21pop033,ind_measure,,Lithodes_santolla,,,
TRAPOP034,dat21pop034,ind_measure,,Lithodes_santolla,,,
TRAPOP035,dat21pop035,ind_measure,,Lithodes_santolla,,,
TRAPOP036,dat21pop036,ind_measure,,Lithodes_santolla,,,
TRAPOP037,dat21pop037,ind_measure,,Lithodes_santolla,,,
TRAPOP038,dat21pop038,ind_measure,,Lithodes_santolla,,,
TRAPOP039,dat21pop039,ind_measure,,Lithodes_santolla,,,
TRAPOP040,dat21pop040,ind_measure,,Lithodes_santolla,,,
TRAPOP041,dat21pop041,ind_measure,,Lithodes_santolla,,,
TRAPOP042,dat21pop042,ind_measure,,Lithodes_santolla,,,
TRAPOP043,dat21pop043,ind_measure,,Lithodes_santolla,,,
TRAPOP044,dat21pop044,ind_measure,,Lithodes_santolla,,,
TRAPOP045,dat23pop045,ind_measure,,Dysaphis_plantaginea,,,
TRAPOP046,dat24pop046,ind_measure,,Gryllus_bimaculatus,,,
TRAPOP047,dat25pop047,ind_measure,,Gryllus_campestris,,,
TRAPOP048,dat26pop048,ind_measure,,Danio_rerio,,,
TRAPOP049,dat28apop049,ind_measure,,Bidyanus_bidyanus,,,
TRAPOP050,dat28bpop050,ind_measure,,Leiopotherapon_unicolor,,,
TRAPOP051,dat29pop051,ind_measure,,Pelophylax_esculentus,,,
TRAPOP052,dat30pop052,ind_measure,,Danio_rerio,,,
TRAPOP053,dat32apop053,ind_measure,,Neotrypaea_uncinata,,,
TRAPOP054,dat32bpop054,ind_measure,,Neotrypaea_uncinata,,,
TRAPOP055,dat32cpop055,ind_measure,,Petrolisthes_laevigatus,,,
TRAPOP056,dat33pop056,ind_measure,,Drosophila_subobscura,,,
TRAPOP057,dat34pop057,ind_measure,,Gammarus_insensibilis,,,
TRAPOP058,dat34pop058,ind_measure,,Gammarus_insensibilis,,,
TRAPOP059,dat34pop059,ind_measure,,Gammarus_insensibilis,,,
TRAPOP060,dat35pop060,ind_measure,,Danio_rerio,,,
TRAPOP061,dat36pop061,ind_measure,,Ilyocorus_cimicoides,,,
TRAPOP062,dat36pop062,ind_measure,,Aphelocheirus_aestivalis,,,
TRAPOP063,dat37pop063,ind_measure,,Liopholis_striata,,,
TRAPOP064,dat37pop064,ind_measure,,Liopholis_inornata,,,
TRAPOP065,dat38pop065,ind_measure,,Litoria_caerulea,,,
TRAPOP066,dat39pop066,ind_measure,,Danio_rerio,,,