dataset_pk,manuscript_pk
TRADAT001,TRAMAN001
TRADAT002,TRAMAN002
TRADAT003,TRAMAN003
TRADAT004,TRAMAN004
TRADAT005,TRAMAN005
TRADAT006,TRAMAN006
TRADAT007,TRAMAN007
TRADAT008,TRAMAN008
TRADAT009,TRAMAN009
TRADAT010,TRAMAN010
TRADAT011,TRAMAN011
TRADAT011b,TRAMAN011b
TRADAT012,TRAMAN012
TRADAT013,TRAMAN013
TRADAT014,TRAMAN014
TRADAT015,TRAMAN015
TRADAT016,TRAMAN016
TRADAT016b,TRAMAN016b
TRADAT017,TRAMAN017
TRADAT018,TRAMAN018
TRADAT019,TRAMAN019
TRADAT020,TRAMAN020
TRADAT021,TRAMAN021
TRADAT022,TRAMAN022
TRADAT023,TRAMAN023
TRADAT024,TRAMAN024
TRADAT025,TRAMAN025
TRADAT026,TRAMAN026
TRADAT027,TRAMAN027
TRADAT028,TRAMAN028
TRADAT028b,TRAMAN028b
TRADAT029,TRAMAN029
TRADAT030,TRAMAN030
TRADAT031,TRAMAN031
TRADAT032a,TRAMAN032a
TRADAT032b,TRAMAN032b
TRADAT032c,TRAMAN032c
TRADAT033,TRAMAN033
TRADAT034,TRAMAN034
TRADAT036,TRAMAN036
TRADAT037,TRAMAN037
TRADAT038,TRAMAN038
TRADAT039,TRAMAN039