site_pk,site_name,site_realm_specific,site_realm_general,elevation_value,elevation_unit,temperature_value,temperature_unit,depth_value,depth_unit
TRASIT001,,terrestrial,terrestrial,469,meter,,,,
TRASIT002,,terrestrial,terrestrial,189,meter,,,,
TRASIT003,,terrestrial,terrestrial,154,meter,,,,
TRASIT004,,terrestrial,terrestrial,519,meter,,,,
TRASIT005,,terrestrial,terrestrial,114,meter,,,,
TRASIT006,,freshwater,freshwater,268,meter,,,0.2,
TRASIT007,,freshwater,freshwater,50,meter,,,0.2,
TRASIT008,,terrestrial,terrestrial,,,,,,
TRASIT009,,terrestrial,terrestrial,,,,,,
TRASIT010,,freshwater,freshwater,,,,,0.3,meter
TRASIT011,,,terrestrial,,,,,,
TRASIT012,,freshwater,freshwater,,,,,,
TRASIT013,,terrestrial,terrestrial,60,meter,,,,
TRASIT014,,terrestrial,terrestrial,150,meter,,,,
TRASIT015,,terrestrial,terrestrial,,,,,,
TRASIT016,,terrestrial,terrestrial,8,meter,,,,
TRASIT017,,terrestrial,terrestrial,,,,,,
TRASIT018,,terrestrial,terrestrial,,,,,,
TRASIT019,,terrestrial,terrestrial,1,meter,,,,