population_pk,site_pk,observation_date_initial,observation_date_final,year_collection_initial,year_collection_final,comment_location,origin
TRAPOP001,TRASIT001,20180707,20180722,2018,2018,,field
TRAPOP002,TRASIT002,20180707,20180722,2018,2018,,field
TRAPOP003,TRASIT003,20180707,20180722,2018,2018,,field
TRAPOP004,TRASIT004,20180707,20180722,2018,2018,,field
TRAPOP005,TRASIT005,20180707,20180722,2018,2018,,field
TRAPOP006,TRASIT006,20110411,20110411,2011,2011,,field
TRAPOP007,TRASIT007,20140524,20140524,2014,2014,,field
TRAPOP008,TRASIT008,20090301,20090315,2009,2009,,field
TRAPOP009,TRASIT009,20090301,20090315,2009,2009,,field
TRAPOP010,TRASIT010,20090520,20090829,2009,2009,,laboratory
TRAPOP011,TRASIT011,20150101,20150102,2015,2015,,laboratory
TRAPOP012,TRASIT012,20160101,20160101,2016,2016,,field
TRAPOP013,TRASIT013,20080601,20080831,2008,2008,,field
TRAPOP014,TRASIT013,20080601,20080831,2008,2008,,field
TRAPOP015,TRASIT013,20080601,20080831,2008,2008,,field
TRAPOP016,TRASIT013,20080601,20080831,2008,2008,,field
TRAPOP017,TRASIT014,20170101,20170102,2017,2017,,laboratory
TRAPOP018,TRASIT015,20150501,20150501,2015,2015,,field
TRAPOP019,TRASIT016,20120101,20121231,2012,2012,,laboratory
TRAPOP020,TRASIT016,20120101,20121231,2012,2012,,laboratory
TRAPOP021,TRASIT017,,,,,,
TRAPOP022,TRASIT018,,,,,,
TRAPOP023,TRASIT018,,,,,,
TRAPOP024,TRASIT019,20191125,20191213,2019,2019,,field
TRAPOP025,TRASIT020,20180707,20180722,2018,2018,,field
TRAPOP026,TRASIT021,20180707,20180722,2018,2018,,field
TRAPOP027,TRASIT022,20180707,20180722,2018,2018,,field
TRAPOP028,TRASIT023,20180707,20180722,2018,2018,,field
TRAPOP029,TRASIT024,20180707,20180722,2018,2018,,field
TRAPOP030,TRASIT025,20021001,20021031,2002,2002,Minutes of the longitude (long_mm) after asking for feedback to the submitting author,field
TRAPOP031,TRASIT026,20100101,20100701,2010,2010,,laboratory
TRAPOP032,TRASIT027,20150101,20150102,2015,2015,,laboratory
TRAPOP033,TRASIT027,20150101,20150102,2015,2015,,laboratory
TRAPOP034,TRASIT028,20030101,20031231,2003,2003,,laboratory
TRAPOP035,TRASIT029,20160401,20160701,2016,2016,,laboratory
TRAPOP036,TRASIT030,20080601,20080831,2008,2008,,field
TRAPOP037,TRASIT030,20080601,20080831,2008,2008,,field
TRAPOP038,TRASIT030,20080601,20080831,2008,2008,,field
TRAPOP039,TRASIT030,20080601,20080831,2008,2008,,field
TRAPOP040,TRASIT031,20141001,20141001,2014,2014,,field
TRAPOP041,TRASIT032,20180325,20180325,2018,2018,,field
TRAPOP042,TRASIT033,20180905,20180905,2018,2018,,field
TRAPOP043,TRASIT034,20180704,20180704,2018,2018,,field
TRAPOP044,TRASIT035,20180727,20180727,2018,2018,,field
TRAPOP045,TRASIT036,20190217,20190217,2019,2019,,field
TRAPOP046,TRASIT037,20190902,20190902,2019,2019,,field
TRAPOP047,TRASIT038,20190102,20190102,2019,2019,,field
TRAPOP048,TRASIT039,20190228,20190228,2019,2019,,field
TRAPOP049,TRASIT040,20190423,20190423,2019,2019,,field
TRAPOP050,TRASIT041,20190726,20190726,2019,2019,,field
TRAPOP051,TRASIT042,20180727,20180727,2018,2018,,field
TRAPOP052,TRASIT043,20190423,20190423,2019,2019,,field
TRAPOP053,TRASIT044,20190727,20190727,2019,2019,,field
TRAPOP054,TRASIT045,20180910,20180910,2018,2018,,field
TRAPOP055,TRASIT046,20190423,20190423,2019,2019,,field
TRAPOP056,TRASIT047,20180919,20180919,2018,2018,,field
TRAPOP057,TRASIT048,20170101,20170102,2017,2017,,laboratory
TRAPOP058,TRASIT049,20180410,20180520,2018,2018,,field
TRAPOP059,TRASIT050,20140701,20140715,2014,2014,,field
TRAPOP060,TRASIT051,20140415,20140415,2014,2014,Geographical coordinates of the Hoge Veluwe National,laboratory
TRAPOP061,TRASIT052,20180518,20180719,2018,2018,,laboratory
TRAPOP062,TRASIT053,,,,,,field
TRAPOP063,TRASIT054,,,,,,field
TRAPOP064,TRASIT055,20181001,20181001,2018,2018,,hatchery
TRAPOP065,TRASIT056,20181001,20181001,2018,2018,,hatchery
TRAPOP066,TRASIT057,20100624,20100702,2010,2010,,laboratory
TRAPOP067,TRASIT058,,,,,,laboratory
TRAPOP068,TRASIT059,20080601,20080831,2008,2008,,field
TRAPOP069,TRASIT060,20080601,20080831,2008,2008,,field
TRAPOP070,TRASIT061,20080601,20080831,2008,2008,,field
TRAPOP071,TRASIT062,20080601,20080831,2008,2008,,field
TRAPOP072,TRASIT063,20110401,20110701,2011,2011,,field
TRAPOP073,TRASIT064,20110101,20110101,2011,2011,,field
TRAPOP074,TRASIT065,20091001,20100301,2009,2010,,field
TRAPOP075,TRASIT066,20141001,20141001,2014,2014,,field
TRAPOP076,TRASIT067,20190101,20190101,2019,2019,,field
TRAPOP077,TRASIT068,20190101,20190101,2019,2019,,field
TRAPOP078,TRASIT069,20190101,20190101,2019,2019,,field
TRAPOP079,TRASIT070,20210329,20210629,2021,2021,,aquarium
TRAPOP080,TRASIT071,,,,,,field
TRAPOP081,TRASIT072,,,,,,field
TRAPOP082,TRASIT073,20111001,20111030,2011,2011,semi-arid landscape,field
TRAPOP083,TRASIT074,20111001,20111030,2011,2011,semi-arid landscape,field
TRAPOP084,TRASIT075,20140501,20140501,2014,2014,collected along roads after raining at night,field
TRAPOP085,TRASIT076,,,,,,laboratory