taxonomy_pk,scientific_name,taxonomy_id_ref,taxonomy_db_name,taxonomy_db_url,taxonomy_db_version,parent_id,parent_name,rank_level,phylum_name,class_name,order_name,family_name,genus_name,species_name,common_names,comment_taxonomy
TRATAX001,"Aphidius platensis Brethes, 1913",,catalogue of life,,,,,,,,,,Aphidius,,,
TRATAX002,"Rana arvalis Nilsson, 1842",,catalogue of life,,,,,,,,,,Rana,,,
TRATAX003,"Rana temporaria Linnaeus, 1758",,catalogue of life,,,,,,,,,,Rana,,,
TRATAX004,"Drosophila (Sophophora) melanogaster Meigen, 1830",,catalogue of life,,,,,,,,,,Drosophila,,,
TRATAX005,"Pelophylax kl. esculentus (Linnaeus, 1758)",,wikipedia,,,,,,,,,,Pelophylax,,,
TRATAX006,"Aphidius colemani Viereck, 1912",,catalogue of life,,,,,,,,,,Aphidius,,,
TRATAX007,Chalcolestes viridis,,wikipedia,,,,,,,,,,Chalcolestes,,,
TRATAX008,Trichopria drosophilae uncertain,,not found,,,,,,,,,,Drosophila,,,
TRATAX009,"Asobara tabida (Nees, 1834)",,catalogue of life,,,,,,,,,,Asobara,,,
TRATAX010,Leptopilina heterotoma,,wikipedia,,,,,,,,,,Leptopilina,,,
TRATAX011,Spalangia erythromera,,wikipedia,,,,,,,,,,Spalangia,,,
TRATAX012,"Aphidius ervi Haliday, 1834",,catalogue of life,,,,,,,,,,Aphidius,,,
TRATAX013,"Lycaena phlaeas (Linnaeus, 1761)",,catalogue of life,,,,,,,,,,Lycaena,,,
TRATAX014,"Brachymeria nosatoi Habu, 1966",,catalogue of life,,,,,,,,,,Brachymeria,,,
TRATAX015,"Opisina arenosella Walker, 1864",,catalogue of life,,,,,,,,,,Opisina,,,
TRATAX016,"Aphidius matricariae Haliday, 1834",,catalogue of life,,,,,,,,,,Aphidius,,,
TRATAX017,"Dysaphis (Pomaphis) plantaginea (Passerini, 1860)",,catalogue of life,,,,,,,,,,Dysaphis,,,
TRATAX018,"Operophtera brumata (Linnaeus, 1758)",,catalogue of life,,,,,,,,,,Operophtera,,,
TRATAX019,"Petrolisthes laevigatus (Guerin, 1835)",,catalogue of life,,,,,,,,,,Petrolisthes,,,
TRATAX020,"Lymnaea stagnalis (Linnaeus, 1758)",,catalogue of life,,,,,,,,,,Lymnaea,,,
TRATAX021,"Copidosoma koehleri Blanchard, 1940",,catalogue of life,,,,,,,,,,Copidosoma,,,
TRATAX022,"Trechnites insidiosus (Crawford, 1910)",,catalogue of life,,,,,,,,,,Trechnites,,,
TRATAX023,"Drosophila (Sophophora) subobscura Collin, 1936",,catalogue of life,,,,,,,,,,Drosophila,,,
TRATAX024,"Lithodes santolla (Molina, 1782)",,catalogue of life,,,,,,,,,,Lithodes,,,
TRATAX025,"Gryllus (Gryllus) bimaculatus De Geer, 1773",,catalogue of life,,,,,,,,,,Gryllus,,,
TRATAX026,"Gryllus (Gryllus) campestris Linnaeus, 1758",,catalogue of life,,,,,,,,,,Gryllus,,,
TRATAX027,"Danio rerio (Hamilton, 1822)",,catalogue of life,,,,,,,,,,Danio,,,
TRATAX028,"Bidyanus bidyanus (Mitchell, 1838)",,catalogue of life,,,,,,,,,,Bidyanus,,,
TRATAX029,"Leiopotherapon unicolor (Gunther, 1859)",,catalogue of life,,,,,,,,,,Leiopotherapon,,,
TRATAX030,"Neotrypaea uncinata (H. Milne-Edwards, 1837)",,catalogue of life,,,,,,,,,,Neotrypaea,,,
TRATAX031,"Gammarus insensibilis Stock, 1966",,catalogue of life,,,,,,,,,,Gammarus,,,
TRATAX032,"Ilyocoris cimicoides (Linnaeus, 1758)",,catalogue of life,,,,,,,,,,Ilyocoris,,,
TRATAX033,"Aphelocheirus (Aphelocheirus) aestivalis (Fabricius, 1794)",,catalogue of life,,,,,,,,,,Aphelocheirus,,,
TRATAX034,"Liopholis striata (Sternfeld, 1919)",,catalogue of life,,,,,,,,,,Liopholis,,,
TRATAX035,"Liopholis inornata (Rosen, 1905)",,catalogue of life,,,,,,,,,,Liopholis,,,
TRATAX036,"Ranoidea caerulea (White, 1790)",,catalogue of life,,,,,,,,,,Ranoidea,,,