taxonomy_pk,population_pk,name_date,reference_source,version_taxa
TRATAX001,TRAPOP001,,,v1.0
TRATAX001,TRAPOP002,,,v1.0
TRATAX001,TRAPOP003,,,v1.0
TRATAX001,TRAPOP004,,,v1.0
TRATAX001,TRAPOP005,,,v1.0
TRATAX002,TRAPOP006,,,v1.0
TRATAX003,TRAPOP007,,,v1.0
TRATAX004,TRAPOP008,,,v1.0
TRATAX004,TRAPOP009,,,v1.0
TRATAX005,TRAPOP010,,,v1.0
TRATAX006,TRAPOP011,,,v1.0
TRATAX007,TRAPOP012,,,v1.0
TRATAX009,TRAPOP013,,,v1.0
TRATAX010,TRAPOP014,,,v1.0
TRATAX011,TRAPOP015,,,v1.0
TRATAX008,TRAPOP016,,,v1.0
TRATAX012,TRAPOP017,,,v1.0
TRATAX013,TRAPOP018,,,v1.0
TRATAX014,TRAPOP019,,,v1.0
TRATAX015,TRAPOP020,,,v1.0
TRATAX012,TRAPOP021,,,v1.0
TRATAX016,TRAPOP022,,,v1.0
TRATAX017,TRAPOP023,,,v1.0
TRATAX018,TRAPOP024,,,v1.0
TRATAX001,TRAPOP025,,,v1.0
TRATAX001,TRAPOP026,,,v1.0
TRATAX001,TRAPOP027,,,v1.0
TRATAX001,TRAPOP028,,,v1.0
TRATAX001,TRAPOP029,,,v1.0
TRATAX019,TRAPOP030,,,v1.0
TRATAX020,TRAPOP031,,,v1.0
TRATAX006,TRAPOP032,,,v1.0
TRATAX006,TRAPOP033,,,v1.0
TRATAX021,TRAPOP034,,,v1.0
TRATAX022,TRAPOP035,,,v1.0
TRATAX009,TRAPOP036,,,v1.0
TRATAX010,TRAPOP037,,,v1.0
TRATAX011,TRAPOP038,,,v1.0
TRATAX008,TRAPOP039,,,v1.0
TRATAX023,TRAPOP040,,,v1.0
TRATAX024,TRAPOP041,,,v1.0
TRATAX024,TRAPOP042,,,v1.0
TRATAX024,TRAPOP043,,,v1.0
TRATAX024,TRAPOP044,,,v1.0
TRATAX024,TRAPOP045,,,v1.0
TRATAX024,TRAPOP046,,,v1.0
TRATAX024,TRAPOP047,,,v1.0
TRATAX024,TRAPOP048,,,v1.0
TRATAX024,TRAPOP049,,,v1.0
TRATAX024,TRAPOP050,,,v1.0
TRATAX024,TRAPOP051,,,v1.0
TRATAX024,TRAPOP052,,,v1.0
TRATAX024,TRAPOP053,,,v1.0
TRATAX024,TRAPOP054,,,v1.0
TRATAX024,TRAPOP055,,,v1.0
TRATAX024,TRAPOP056,,,v1.0
TRATAX012,TRAPOP057,,,v1.0
TRATAX017,TRAPOP058,,,v1.0
TRATAX025,TRAPOP059,,,v1.0
TRATAX026,TRAPOP060,,,v1.0
TRATAX027,TRAPOP061,,,v1.0
TRATAX004,TRAPOP062,,,v1.0
TRATAX004,TRAPOP063,,,v1.0
TRATAX028,TRAPOP064,,,v1.0
TRATAX029,TRAPOP065,,,v1.0
TRATAX005,TRAPOP066,,,v1.0
TRATAX027,TRAPOP067,,,v1.0
TRATAX009,TRAPOP068,,,v1.0
TRATAX010,TRAPOP069,,,v1.0
TRATAX011,TRAPOP070,,,v1.0
TRATAX008,TRAPOP071,,,v1.0
TRATAX030,TRAPOP072,,,v1.0
TRATAX030,TRAPOP073,,,v1.0
TRATAX019,TRAPOP074,,,v1.0
TRATAX023,TRAPOP075,,,v1.0
TRATAX031,TRAPOP076,,,v1.0
TRATAX031,TRAPOP077,,,v1.0
TRATAX031,TRAPOP078,,,v1.0
TRATAX027,TRAPOP079,,,v1.0
TRATAX032,TRAPOP080,,,v1.0
TRATAX033,TRAPOP081,,,v1.0
TRATAX034,TRAPOP082,,,v1.0
TRATAX035,TRAPOP083,,,v1.0
TRATAX036,TRAPOP084,,,v1.0
TRATAX027,TRAPOP085,,,v1.0